Category,,,,Payment Per Service,Payment Per Service,Payment Per Service,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services
Facial plastics,,Total,Total,350.5527500930263,285.45633828601797,328.60323062927404,7406907.4052551985,0.7070889011501077,3068306.3807448,0.2929110988498923,9316291.89,9802660.93,10395817.469999999,11742372.48,11118926.16,10475213.785999998,52376068.92999999,554498.009,157808.68549261632,-1107947270.3669999,318300196.87790614,0.8969468376622737,0.03909273584987734,21129.2235,0.6628152173913043,10748.7765,0.33718478260869567,26666.0,30643.0,37827.0,34270.0,29984.0,31878.0,159390.0,1026.3,1447.4892411805115,-2038169.0999999999,2919586.5171056446,0.37884090155695294,0.5294448448725095
Facial plastics,A,14040,"Tissue transfer repair of wound (10 sq centimeters or less) of the forehead, cheeks, chin, mouth, neck, underarms, genitals, hands, and/or feet",539.6644007836085,386.6247135880171,513.9690373034688,3295972.038578,0.8737,476457.90142199985,0.12629999999999997,4175118.98,3907715.69,3725634.72,3471107.63,3582572.68,3772429.94,18862149.7,-162170.066,39370.08183804578,330869453.062,79409474.58646426,-0.9218205770693826,0.025930625017720848,6107.44758,0.8321,1232.3524200000004,0.16790000000000005,8379.0,7635.0,7356.0,6475.0,6854.0,7339.8,36699.0,-421.0,112.37034009618968,856496.8,226651.031685629,-0.9076938642599753,0.033195048477384685
Facial plastics,A,14041,"Tissue transfer repair of wound (10.1 to 30.0 sq centimeters) of the forehead, cheeks, chin, mouth, neck, underarms, genitals, hands, and/or feet",573.9168678866499,507.9031214743816,563.3942767085343,2020339.2792776,0.8563,339043.27272240014,0.14370000000000005,2481173.43,2174377.77,2237142.3,2455397.22,2448822.04,2359382.552,11796912.760000002,21631.666999999994,50511.19177923691,-41271689.786999986,101881098.86145043,0.2400250734436996,0.6973509441527157,3520.26468,0.8406,667.53532,0.1594,4486.0,3871.0,4066.0,4205.0,4311.0,4187.8,20939.0,-1.6,85.55099843563097,7415.0,172556.40625963442,-0.010797145571532512,0.986252914400022
Facial plastics,A,14060,"Tissue transfer repair of wound (10 sq centimeters or less) of eyelids, nose, ears, and/or lips",545.1504161603755,445.0467063385297,528.4731381040559,6084728.8173268,0.8597,993006.2266731998,0.14029999999999998,7253164.21,7562395.26,6718042.68,7190368.43,6664704.64,7077735.044,35388675.22,-154894.59700000007,106208.37168020778,319500137.1930001,214222338.3355773,-0.6440927977165881,0.24080939714031216,11161.559519999999,0.8333999999999999,2231.2404799999995,0.16659999999999997,13950.0,14043.0,13157.0,13033.0,12781.0,13392.8,66964.0,-334.8,75.6479565707715,688684.4,152581.96590842571,-0.9312263473581556,0.021425716048876317
Facial plastics,A,14301,Tissue transfer repair of wound (30.1 to 60.0 sq centimeters),967.2455391528582,535.0675976975914,829.3807758286281,3056472.8832792,0.7942,792019.7927207999,0.20579999999999998,3422400.08,3325471.33,3811793.74,4247217.1,4435581.13,3848492.676,19242463.38,294810.78699999995,55067.55198234584,-590784864.703,111071279.65009964,0.9514446722599507,0.012749717868465252,3159.9762,0.681,1480.2237999999998,0.31899999999999995,4204.0,4516.0,4544.0,4910.0,5027.0,4640.2,23201.0,204.0,26.58119636133785,-406827.8,53614.28623939707,0.975466200293575,0.0045959613476703005
Facial plastics,A,Total,Total,603.672943323108,463.4403944485379,577.0532469570983,14457513.0184616,0.8475483020781615,2600527.1935384,0.15245169792183863,17331856.700000003,16969960.049999997,16492613.44,17364090.38,17131680.49,17058040.211999997,85290201.05999999,-622.2090000007302,129296.3963108654,18313035.76500147,260790895.46232757,-0.0027783539014754888,0.9964624944945317,23949.24798,0.810174623654459,5611.352019999999,0.189825376345541,31019.0,30065.0,29123.0,28623.0,28973.0,29560.6,147803.0,-553.4,156.49234273066966,1145768.4000000001,315645.1328744357,-0.8980629468571166,0.0384660365219436
Facial plastics,,Total,Total,485.0302085645783,346.50299766002075,448.14260087306684,21864420.423716795,0.7941095674817444,5668833.574283199,0.20589043251825517,26648148.59,26772620.979999997,26888430.91,29106462.86,28250606.650000006,27533253.998000003,137666269.99,553875.8000000016,238017.36062108673,-1089634234.6020033,480081134.37834984,0.8021836083467196,0.10242394235734108,45078.47148,0.7337157988626043,16360.128520000002,0.26628420113739576,57685.0,60708.0,66950.0,62893.0,58957.0,61438.6,307193.0,472.90000000000003,1304.3017685080908,-892400.7000000001,2630777.3137350623,0.20488871135483788,0.740964470042578
Head & neck,,31541,Removal of growth of tongue and/or vocal cord stripping using an endoscope with operating microscope or telescope,762.6948681122992,203.62558337461843,250.86693793495243,90755.27417180002,0.2569,262515.54782820004,0.7431,428916.69,311467.78,318524.17,364008.38,343437.09,353270.82200000004,1766354.11,-11841.859999999999,15797.491831924332,24238302.441999998,31863548.857162863,-0.39718291970623937,0.5079211472894979,118.9929,0.0845,1289.2071,0.9155,1635.0,1317.0,1301.0,1439.0,1349.0,1408.2,7041.0,-45.0,42.99255749545495,92173.2,86716.00978343042,-0.5172044813769512,0.37214203530129697
Head & neck,,38510,"Biopsy or removal of lymph nodes of neck, open procedure",667.8538211621375,258.2466188629966,355.03680076628365,49427.30030700001,0.4445,61770.225693000015,0.5555,131596.26,124915.2,113084.72,74247.77,112143.68,111197.52600000003,555987.6300000001,-8957.259000000004,6249.531230119343,18177988.92900001,12605307.589579301,-0.6375274753525688,0.24722673832387945,74.00916,0.23629999999999998,239.19084,0.7637,325.0,331.0,339.0,222.0,349.0,313.2,1566.0,-6.1000000000000005,18.573009090254242,12616.900000000001,37461.76854327622,-0.18630145122636613,0.7641730279003679
Head & neck,,42415,Partial removal of salivary gland growth with release of facial nerve,1528.1974656954064,675.6067496806439,709.1988238916256,19556.5263522,0.0849,210791.2516478,0.9151,196315.23,287774.38,301095.61,183520.11,183033.56,230347.778,1151738.89,-13081.761000000006,20150.62090027457,26616259.71500001,40643812.3462447,-0.35097169575186815,0.5624807589038077,12.79712,0.0394,312.00288,0.9606,273.0,406.0,396.0,296.0,253.0,324.8,1624.0,-15.0,24.549813305467993,30579.8,49516.985608576775,-0.33267029629846695,0.584378834537845
Head & neck,,42826,Removal of tonsils patient age 12 or over,,,570.9250000000001,,,,,0.0,0.0,6851.1,0.0,0.0,1370.22,6851.1,-4.5474735088646414e-14,1118.7799451187886,1370.2200000000917,2256579.7039797613,-2.3467394691249373e-17,1.0,,,,,0.0,0.0,12.0,0.0,0.0,2.4,12.0,-8.881784197001253e-17,1.9595917942265426,2.400000000000179,3952.4976204926425,-2.6168207644729584e-17,1.0
Head & neck,,60500,Removal or exploration of parathyroid glands,1582.1966821193869,714.1085710294748,791.5420305386949,297619.0436022,0.1783,1371584.7903978,0.8217,1466292.92,1408770.07,1410847.34,1862490.74,2197618.1,1669203.834,8346019.17,191637.10300000003,64570.46139026227,-384862832.91700006,130238652.63727425,0.8636788268554862,0.05916881279012047,188.10496,0.0892,1920.6950400000003,0.9108,1960.0,1870.0,1798.0,2272.0,2644.0,2108.8,10544.0,177.0,76.49549006314034,-354900.2,154291.4413827287,0.8005552687525032,0.10366410646301338
Head & neck,,Total,Total,1161.0899657799991,506.9431587332102,568.9590080338673,457358.1444332,0.19335420781750268,1906661.8155668,0.8060665135452623,2223121.0999999996,2132927.43,2150402.94,2484267.0,2836232.43,2365390.1799999997,11826950.899999999,157756.22300000011,59847.80652915748,-315828911.61100024,120713055.44100086,0.8357271993168485,0.07792567206606638,393.90414,0.09474771251262809,3761.0958600000004,0.9046750036080244,4193.0,3924.0,3846.0,4229.0,4595.0,4157.4,20787.0,110.9,86.86101925873693,-219527.90000000002,175198.7189093288,0.5933509131465091,0.29155067173899063
Head & neck,G,11642,"Removal of malignant growth (1.1 to 2.0 centimeters) of the face, ears, eyelids, nose, or lips",80.24473431942025,85.96711831999657,81.43842362194047,187329.0629476,0.7798,52897.99905239999,0.22019999999999995,289427.1,245483.24,238474.17,213254.24,214496.56,240227.062,1201135.31,-18209.007999999998,4184.319590677554,36967796.19799999,8439774.688922692,-0.9291113637966288,0.022414348566015877,2334.47172,0.7914,615.3282800000001,0.2086,3552.0,3055.0,2923.0,2585.0,2634.0,2949.8,14749.0,-230.60000000000002,50.158149886135114,468070.00000000006,101169.01318803096,-0.9357924700565041,0.01934128225424739
Head & neck,G,11643,"Removal of malignant growth (2.1 to 3.0 centimeters) of the face, ears, eyelids, nose, or lips",87.30601099121778,128.37328609433786,91.95071980538066,108218.54552459999,0.8421,20291.780475400006,0.15790000000000004,139924.42,140722.56,128258.93,129997.44,103648.28,128510.326,642551.63,-8327.740000000003,2622.3634717529135,16925561.906000007,5289308.422656092,-0.8779105013366187,0.05026129621217069,1239.53144,0.8869,158.06855999999996,0.11309999999999998,1487.0,1479.0,1414.0,1426.0,1182.0,1397.6,6988.0,-66.3,24.64433673957028,135124.7,49707.63942202447,-0.8408101544761016,0.0743969076057576
Head & neck,G,Total,Total,82.69371772805034,94.6341848614225,84.81791139531674,295547.6084722,0.8015124532807072,73189.7795278,0.1984875467192928,429351.52,386205.8,366733.1,343251.68,318144.83999999997,368737.388,1843686.94,-26536.74800000001,2238.8454430847514,53893358.10400002,4515752.368689632,-0.9894911332131083,0.0012911654948376313,3574.00316,0.8221012927266873,773.39684,0.1778987072733128,5039.0,4534.0,4337.0,4011.0,3816.0,4347.4,21737.0,-296.90000000000003,30.162393804205664,603194.7000000001,60837.56325716814,-0.9848693430372749,0.0022291146303214243
Head & neck,K,60220,Total removal of thyroid lobe on one side of the neck,1537.0776728598717,450.7040882756771,641.3626523702033,95601.9274344,0.4206,131696.9965656,0.5794,168535.09,208492.4,242281.69,258011.07,259174.37,227298.92400000003,1136494.62,23079.723,4704.255663438621,-46324502.367,9488486.005458666,0.9429617965720068,0.01621181426470545,62.197199999999995,0.1755,292.20279999999997,0.8245,293.0,323.0,394.0,386.0,376.0,354.4,1772.0,22.900000000000002,9.210682204194574,-45834.9,18577.95057238553,0.8205197797000148,0.08877828397507988
Head & neck,K,60240,Removal of thyroid,1550.8116488782825,618.378659793574,717.216556636553,94620.60161999999,0.2292,318209.24838,0.7708,559710.52,564614.42,289389.15,325602.27,324832.89,412829.85,2064149.25,-70876.74100000001,28848.503635550438,143371216.44700003,58187446.13558252,-0.8173130644568907,0.09112151282132575,61.013600000000004,0.106,514.5864,0.894,746.0,793.0,423.0,457.0,459.0,575.6,2878.0,-91.0,38.48688088167187,184122.6,77628.05781957964,-0.8067096925041768,0.09900072544461674
Head & neck,K,Total,Total,1543.8786945170389,557.650306852893,688.3105096774193,190222.5290544,0.29716290968416925,449906.24494560005,0.7028370903158309,728245.61,773106.8200000001,531670.8400000001,583613.3400000001,584007.26,640128.774,3200643.87,-47797.018,26273.51662106075,97046714.08,52993696.050714925,-0.7242431361694953,0.16645199710323352,123.2108,0.13248473118279572,806.7891999999999,0.8675152688172042,1039.0,1116.0,817.0,843.0,835.0,930.0,4650.0,-68.10000000000001,31.33895339669146,138287.7,63210.68453853348,-0.7819841487272998,0.11812106002078937
Head & neck,,Total,Total,230.5306908543657,454.9016295208459,357.6394138720482,943128.2819598,0.27950700431988695,2429757.8400402004,0.7200869150919419,3380718.23,3292240.0500000003,3048806.88,3411132.0200000005,3738384.5300000003,3374256.342,16871281.71,83422.45700000008,76820.54197305083,-164888839.42700016,154947071.24617428,0.53119708324801,0.35697031557679615,4091.1181,0.43362001314283294,5341.281900000001,0.5661256094458813,10271.0,9574.0,9000.0,9083.0,9246.0,9434.8,47174.0,-254.10000000000002,118.51845144674027,521954.50000000006,239051.7753278356,-0.7778732933720244,0.12139690476598587
Laryngology,,31571,Injection of vocal cords using an endoscope with operating microscope or telescope,841.6636590237966,149.60215897453602,186.76586152718133,86299.798112,0.242,270310.93788800004,0.758,337017.46,394075.85,319825.53,402641.13,329493.71,356610.73600000003,1783053.6800000002,-648.2219999999973,14131.066207915423,1664074.5099999944,28502367.5473468,-0.026474998885451514,0.9662949228048202,102.53478,0.0537,1806.8652200000001,0.9463,1894.0,2112.0,1695.0,1987.0,1859.0,1909.4,9547.0,-19.5,55.38071264739497,41240.9,111702.92486676434,-0.19921495552859506,0.7480395127437951
Laryngology,,31622,Diagnostic examination of lung airways using an endoscope,375.9782813675304,65.61281160407707,97.23905297297297,70877.545712,0.3940000000000001,109014.70228799999,0.606,185955.57,191174.4,178972.39,174191.34,169167.54,179892.248,899461.24,-5055.912,1375.9144639019746,10377666.752,2775220.1558490805,-0.9045496291581585,0.03488851790831993,188.51500000000001,0.1019,1661.4850000000001,0.8981000000000001,2037.0,1907.0,1836.0,1720.0,1750.0,1850.0,9250.0,-76.10000000000001,15.707641452490558,155343.7,31682.320597298403,-0.9416326653375937,0.016778355611182162
Laryngology,,Total,Total,540.0359478849289,109.36774434964644,142.7097366601053,157177.343824,0.2929663925671661,379325.640176,0.707033607432834,522973.03,585250.25,498797.92000000004,576832.47,498661.25,536502.9839999999,2682514.92,-5704.134000000009,14960.080520296176,12041741.262000017,30174489.826432273,-0.2149904001380999,0.7283892938369301,291.04978,0.07741921051231579,3468.3502200000003,0.9225807894876843,3931.0,4019.0,3531.0,3707.0,3609.0,3759.4,18797.0,-95.60000000000001,52.59201460297942,196584.6,106078.11952858139,-0.723969906514188,0.1666919305051469
Laryngology,B,31535,Biopsy of voice box using an endoscope,828.7729963047583,130.03251030803716,199.62706271331058,77394.93310899999,0.4134999999999999,109775.40089100001,0.5865,181200.03,232824.57,168478.11,175099.42,178249.54,187170.334,935851.67,-6362.612999999998,8736.53653948068,13020560.754999995,17621598.531582933,-0.38760117681839484,0.5191424893752931,93.38495999999999,0.0996,844.21504,0.9004,963.0,1039.0,881.0,925.0,880.0,937.6,4688.0,-28.0,18.043650776196415,57413.6,36394.052561373275,-0.6672873358369038,0.2185132314706288
Laryngology,B,31536,Biopsy of voice box using an endoscope with operating microscope or telescope,814.0040246505363,151.18732922641234,230.5927693382224,111696.75313819999,0.4229,152424.20486179998,0.5771,286775.12,252209.73,235033.38,268100.83,278485.73,264120.958,1320604.79,-68.76800000000222,7579.169628366156,402826.01400000445,15287188.898058908,-0.0052383942451570105,0.9933302998000411,137.21892000000003,0.11980000000000002,1008.1810800000001,0.8802,1235.0,1093.0,1071.0,1138.0,1190.0,1145.4,5727.0,-4.5,24.59722206537424,10221.9,49612.60910081227,-0.10504046004058418,0.8665046808704349
Laryngology,B,Total,Total,819.9848426106273,141.54618600302402,216.65448487758042,189091.68624719998,0.4190014068501015,262199.6057528,0.5809985931498984,467975.15,485034.30000000005,403511.49,443200.25,456735.27,451291.292,2256456.46,-6431.381000000006,10616.53808490959,13423386.76900001,21413562.58079104,-0.3301421954613624,0.5874158067464701,230.60388,0.11070757561209794,1852.39612,0.8892924243879021,2198.0,2132.0,1952.0,2063.0,2070.0,2083.0,10415.0,-32.5,27.564167561044417,67635.5,55596.93963654834,-0.5627252184000927,0.32336722681941815
Laryngology,D,43191,Diagnostic examination of esophagus using an endoscope,274.360087364658,66.21312392778832,87.65226116178589,23545.4729536,0.3224,49486.3910464,0.6776,54382.61,67967.41,68026.51,81217.55,93565.24,73031.864,365159.32,9161.54,1262.0587845780683,-18405794.316000003,2545573.194204737,0.9726953196422033,0.005393898026725565,85.8196,0.10299999999999998,747.3804,0.8969999999999999,777.0,909.0,770.0,823.0,887.0,833.2,4166.0,13.4,21.68040590025934,-26194.6,43729.3894496596,0.33608562956496746,0.5802806055972068
Laryngology,D,43200,Diagnostic examination of esophagus using an endoscope,192.46307309178897,42.08626510835559,62.10141825095057,26948.91045,0.4125,38381.78155,0.5875,78306.83,75608.99,63212.1,63046.87,46478.67,65330.692,326653.46,-7621.844000000001,1392.8569685735865,15438590.040000001,2809393.1961715743,-0.9533812739976907,0.01199814221779527,140.0212,0.1331,911.9788,0.8669,1430.0,1192.0,1037.0,897.0,704.0,1052.0,5260.0,-174.70000000000002,9.375677753279167,353421.9,18910.746676691597,-0.9957075279652302,0.0003373768213501421
Laryngology,D,Total,Total,223.58397332811433,52.95307525724388,73.39409929980904,50494.383403600004,0.3649425456089435,87868.17259639999,0.6350574543910564,132689.44,143576.40000000002,131238.61,144264.42,140043.91,138362.556,691812.78,1539.6959999999992,2033.6447841282459,-2967204.2759999987,4101862.5378387957,0.40052546369180236,0.5040184658805161,225.8408,0.1197967324421812,1659.3591999999999,0.8802032675578187,2207.0,2101.0,1807.0,1720.0,1591.0,1885.2,9426.0,-161.3,18.1731486906736,327227.30000000005,36655.249919076974,-0.9814864215537521,0.003015502393300805
Laryngology,E,31525,Diagnostic examination of voice box using an endoscope,421.70165820015217,126.02491335655262,132.50023406862744,60287.81850159999,0.0697,804673.7094984,0.9303,548628.32,783501.65,700741.37,1022976.64,1268959.66,864961.5279999999,4324807.64,168013.767,36316.97388524644,-338018806.511,73251354.33198056,0.936516549509581,0.019017143588124303,142.9632,0.0219,6385.0368,0.9781,4231.0,5918.0,5299.0,7722.0,9470.0,6528.0,32640.0,1228.2,268.0172631255929,-2470751.4,540590.9526034632,0.9354134521920552,0.019511659157183572
Laryngology,E,31526,Diagnostic examination of voice box using an endoscope with operating microscope or telescope,439.73898115824755,92.66267230153638,96.93171090047392,2282.5091555999998,0.0558,38622.6728444,0.9442,49005.12,34247.57,47429.81,44119.52,29723.89,40905.18199999999,204525.90999999997,-2869.0510000000013,2617.5197346996893,5827781.049000002,5279538.602618283,-0.5347490283970439,0.35314370600861766,5.1906,0.0123,416.8094,0.9876999999999999,507.0,369.0,480.0,427.0,327.0,422.0,2110.0,-30.200000000000003,21.077317982450555,61335.40000000001,42512.96082043688,-0.6374088896921573,0.24734307102005545
Laryngology,E,31575,Diagnostic examination of voice box using flexible endoscope,53.9581761766838,53.9581761766838,53.9581761766838,4315.6817678,0.0013,3315439.5242322003,0.9987,4095655.56,3367114.38,2963951.91,3007322.23,3164731.95,3319755.2060000002,16598776.030000001,-222163.93699999998,109382.91479986106,451424416.135,220625393.38181126,-0.760894832058194,0.13520496984053526,79.98198,0.0013,61444.61802,0.9987,69604.0,58104.0,58140.0,59663.0,62112.0,61524.6,307623.0,-1342.5,1572.898139316932,2769347.1,3172536.3268227503,-0.4420250006475327,0.4561022597508783
Laryngology,E,31579,Examination to assess movement of vocal cord flaps using an endoscope,49.56697483019056,99.18356625180273,99.1339496603811,599.8496160000001,0.0005,1199099.382384,0.9995,1329457.32,1080066.04,957141.66,1213382.4,1418448.74,1199699.232,5998496.16,31129.919999999973,65404.20346041837,-61589349.40799995,131920310.80613655,0.26497434318195523,0.6666147843055021,12.101799999999999,0.001,12089.698199999999,0.999,11995.0,9957.0,10470.0,13064.0,15023.0,12101.8,60509.0,916.3000000000001,527.1788406224211,-1836075.3,1063319.9829031853,0.7083423665075976,0.18057866923434673
Laryngology,E,Total,Total,280.9129988780273,66.69269638432651,67.33139167299606,67485.85904099999,0.012439053320535338,5357835.288959,0.9875609466794647,6022746.32,5264929.64,4669264.75,5287800.789999999,5881864.24,5425321.148,27126605.740000002,-25889.301000000072,197897.65314333243,57644041.26500015,399159664.5049398,-0.07531540201863268,0.9041961879792613,240.23757999999998,0.00298148812803749,80336.16242,0.9970185118719626,86337.0,74348.0,74389.0,80876.0,86932.0,80576.4,402882.0,771.8000000000001,2196.8770015638106,-1476144.2000000002,4431102.001334539,0.1987849912569554,0.7485760110261679
Laryngology,,Total,Total,470.01540267520335,69.7147146769121,74.19231269251675,464249.2725158,0.07086176187007501,6087228.7074842015,0.9291382381299254,7146383.94,6478790.59,5702812.77,6452097.93,6977304.67,6551477.9799999995,32757389.9,-36485.12000000011,204721.13724227351,80141965.02000023,412922635.3154902,-0.1023541720539859,0.8699065288077967,987.73204,0.011185586609893097,87316.26796,0.9888144133901069,94673.0,82600.0,81679.0,88366.0,94202.0,88304.0,441520.0,482.40000000000003,2231.9912813449787,-884696.8,4501927.5210623145,0.12382236505622067,0.8427482617591713
Otology,,21235,Obtaining ear cartilage for grafting,909.9489106072781,224.97516355277614,440.1939148773006,298257.084654,0.6495,160953.207346,0.35050000000000003,268245.9,348416.66,542354.62,589131.2,547903.08,459210.292,2296051.46,80002.89,23378.648433623548,-160906618.838,47154745.48141967,0.8922236023051215,0.04178022926871068,327.77344,0.3142,715.42656,0.6858,979.0,1155.0,1076.0,1009.0,997.0,1043.2,5216.0,-11.0,25.684495971954238,23230.2,51805.64110943904,-0.24003510720585444,0.6973385422525447
Otology,,69631,Repair of eardrum and ear canal with opening to ear bones,1635.2454718958654,610.864778369256,935.9007724252492,124942.30388640001,0.5544,100422.6021136,0.4456,205385.67,220079.14,249926.63,192457.49,258975.6,225364.90600000002,1126824.53,7955.820999999996,9327.402961741122,-15821526.050999993,18813376.398225404,0.4417880070506215,0.4563729475995944,76.40584000000001,0.3173,164.39416,0.6827,216.0,234.0,290.0,190.0,274.0,240.8,1204.0,7.2,14.429599209033261,-14281.6,29104.508758609893,0.2768248133643893,0.6520905905687436
Otology,,69801,"Incision of fluid canals of inner ear with infusion of drugs, transcanal approach",84.2343676109962,91.01417326296902,88.7978547953391,36865.4843368,0.3101,82017.0836632,0.6899,149143.78,125889.28,101842.11,117694.22,99843.45,118882.568,594412.84,-10679.572,3994.078023627981,21659579.292,8056057.353864645,-0.8392963880949256,0.07544252157108926,437.65372,0.3269,901.14628,0.6731,1628.0,1419.0,1184.0,1357.0,1106.0,1338.8,6694.0,-110.60000000000001,39.25778054517769,224419.0,79182.96282307194,-0.8518819406403036,0.06688883163021238
