,# counties =,104,# counties =,95,# counties =,51,# counties =,34,,
2013_Rural_urban_cont_code,1.81,0.89,3.81,1.9,2.43,1.68,2.44,1.24,2.11E-15,2.14E-17
Pct_wthout_high_diploma,11.45,4.93,10.08,4.2,13.06,5.15,8.53,3.52,3.82E-06,0.017816198
Pct_wth_high_diploma,28.8,7.48,32.75,6.95,29.25,8.61,28.17,6.56,0.00051613,0.000161471
Pct_wth_some_coll,27.47,4.2,30.22,4.18,26.42,5.69,29.99,4.38,8.09E-07,6.79E-06
Pct_wth_coll_degree,32.29,10.84,26.96,10.11,31.27,13.89,33.3,10.29,0.000664266,0.000202942
unemployment,4.71,1.33,4.35,1.39,4.61,1.27,3.9,0.96,0.001838507,0.00948161
pct_uninsured,10.26,4.18,7.81,3.03,10.71,4.35,7.47,2.79,3.71E-08,3.54E-06
fibro,18.52,1.96,19.89,3.27,18.43,2.71,18.78,2.27,0.001949261,0.000831518
tabacco,7.59,2.01,11.81,3.74,8.57,2.66,9.76,2.09,7.48E-21,4.26E-20
obesity,19.02,5.1,17.55,4.66,18.27,4.34,17.18,4.32,0.128513129,0.042619057
migrane,3.01,0.52,3.33,0.61,2.93,0.63,3.19,0.6,7.89E-05,0.000146175
Alzheimers,10.86,1.54,9.69,1.15,10.8,2.43,10.08,1.13,5.18E-07,7.12E-09
Depression,17.49,2.27,20.98,2.88,16.8,2.81,20.01,2.07,1.49E-23,6.50E-18
Alcohol Abuse,2.11,0.48,2.51,0.73,2.22,0.74,2.45,0.63,6.83E-05,1.06E-05
Drug Abuse,2.85,1.19,3.61,1.38,2.97,1.32,3.18,0.89,5.21E-05,9.03E-06
Schizo_othr_psych,2.97,0.79,3.48,1.11,3.47,1.42,3.49,0.72,0.001119091,0.000263746
COPD,11.4,2.7,13.25,4.58,11.52,2.61,11.23,2.75,0.004759775,0.002713529
Chronic Kidney Disease,23.79,3.44,22.35,3.72,23.47,3.08,21.79,2.72,0.00284686,0.005273847
Osteoporosis,7.06,1.39,5.76,1.1,6.38,1.7,6.31,0.92,6.86E-10,6.22E-12
Stroke,4.27,0.66,3.2,0.64,4.04,0.69,3.35,0.64,1.32E-26,5.86E-24
Diabetes,27.82,4.09,25.95,4.58,29.51,5.83,24.62,3.3,7.63E-07,0.002394673
Asthma,5.42,0.86,4.91,1,5.57,1.1,4.87,0.67,3.98E-06,3.99E-05
Arthritis,34.05,3.49,31.99,5.35,33.05,3.39,31.99,3.57,0.002372806,0.000878452
Hypertension,60.03,5.33,54.82,8.35,59.45,6,54.86,6.12,1.92E-07,1.98E-06
Heart Failure,13.62,2.04,13.41,2.46,14.12,2.85,12.8,2.14,0.086278797,0.403265755
Ischemic Heart Disease,29.27,5.17,26.34,5.05,27.6,5.24,25.16,4.38,2.51E-05,7.42E-05
Population Density,927.86,1089.13,430.49,1500.79,5232.72,12434.73,541.88,602.24,1.16E-11,7.31E-15
Medicare Population Density,151.94,163.85,67.45,185.31,715.64,1775.12,91.95,101.06,1.00E-10,6.03E-14
Urban,0.43,0.5,0.13,0.33,0.47,0.5,0.26,0.45,1.74E-06,1.01E-06
