Category,,,,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services
Facial plastics,,Total,Total,9316291.89,9802660.93,10395817.469999999,11742372.48,11118926.16,10475213.785999998,52376068.92999999,554498.009,157808.68549261632,-1107947270.3669999,318300196.87790614,0.8969468376622737,0.03909273584987734,26666.0,30643.0,37827.0,34270.0,29984.0,31878.0,159390.0,1026.3,1447.4892411805115,-2038169.0999999999,2919586.5171056446,0.37884090155695294,0.5294448448725095
Facial plastics,A,14040,"Tissue transfer repair of wound (10 sq centimeters or less) of the forehead, cheeks, chin, mouth, neck, underarms, genitals, hands, and/or feet",4175118.98,3907715.69,3725634.72,3471107.63,3582572.68,3772429.94,18862149.7,-162170.066,39370.08183804578,330869453.062,79409474.58646426,-0.9218205770693826,0.025930625017720848,8379.0,7635.0,7356.0,6475.0,6854.0,7339.8,36699.0,-421.0,112.37034009618968,856496.8,226651.031685629,-0.9076938642599753,0.033195048477384685
Facial plastics,A,14041,"Tissue transfer repair of wound (10.1 to 30.0 sq centimeters) of the forehead, cheeks, chin, mouth, neck, underarms, genitals, hands, and/or feet",2481173.43,2174377.77,2237142.3,2455397.22,2448822.04,2359382.552,11796912.760000002,21631.666999999994,50511.19177923691,-41271689.786999986,101881098.86145043,0.2400250734436996,0.6973509441527157,4486.0,3871.0,4066.0,4205.0,4311.0,4187.8,20939.0,-1.6,85.55099843563097,7415.0,172556.40625963442,-0.010797145571532512,0.986252914400022
Facial plastics,A,14060,"Tissue transfer repair of wound (10 sq centimeters or less) of eyelids, nose, ears, and/or lips",7253164.21,7562395.26,6718042.68,7190368.43,6664704.64,7077735.044,35388675.22,-154894.59700000007,106208.37168020778,319500137.1930001,214222338.3355773,-0.6440927977165881,0.24080939714031216,13950.0,14043.0,13157.0,13033.0,12781.0,13392.8,66964.0,-334.8,75.6479565707715,688684.4,152581.96590842571,-0.9312263473581556,0.021425716048876317
Facial plastics,A,14301,Tissue transfer repair of wound (30.1 to 60.0 sq centimeters),3422400.08,3325471.33,3811793.74,4247217.1,4435581.13,3848492.676,19242463.38,294810.78699999995,55067.55198234584,-590784864.703,111071279.65009964,0.9514446722599507,0.012749717868465252,4204.0,4516.0,4544.0,4910.0,5027.0,4640.2,23201.0,204.0,26.58119636133785,-406827.8,53614.28623939707,0.975466200293575,0.0045959613476703005
Facial plastics,A,Total,Total,17331856.700000003,16969960.049999997,16492613.44,17364090.38,17131680.49,17058040.211999997,85290201.05999999,-622.2090000007302,129296.3963108654,18313035.76500147,260790895.46232757,-0.0027783539014754888,0.9964624944945317,31019.0,30065.0,29123.0,28623.0,28973.0,29560.6,147803.0,-553.4,156.49234273066966,1145768.4000000001,315645.1328744357,-0.8980629468571166,0.0384660365219436
Facial plastics,,Total,Total,26648148.59,26772620.979999997,26888430.91,29106462.86,28250606.650000006,27533253.998000003,137666269.99,553875.8000000016,238017.36062108673,-1089634234.6020033,480081134.37834984,0.8021836083467196,0.10242394235734108,57685.0,60708.0,66950.0,62893.0,58957.0,61438.6,307193.0,472.90000000000003,1304.3017685080908,-892400.7000000001,2630777.3137350623,0.20488871135483788,0.740964470042578
Head & neck,,31541,Removal of growth of tongue and/or vocal cord stripping using an endoscope with operating microscope or telescope,428916.69,311467.78,318524.17,364008.38,343437.09,353270.82200000004,1766354.11,-11841.859999999999,15797.491831924332,24238302.441999998,31863548.857162863,-0.39718291970623937,0.5079211472894979,1635.0,1317.0,1301.0,1439.0,1349.0,1408.2,7041.0,-45.0,42.99255749545495,92173.2,86716.00978343042,-0.5172044813769512,0.37214203530129697
Head & neck,,38510,"Biopsy or removal of lymph nodes of neck, open procedure",131596.26,124915.2,113084.72,74247.77,112143.68,111197.52600000003,555987.6300000001,-8957.259000000004,6249.531230119343,18177988.92900001,12605307.589579301,-0.6375274753525688,0.24722673832387945,325.0,331.0,339.0,222.0,349.0,313.2,1566.0,-6.1000000000000005,18.573009090254242,12616.900000000001,37461.76854327622,-0.18630145122636613,0.7641730279003679
Head & neck,,42415,Partial removal of salivary gland growth with release of facial nerve,196315.23,287774.38,301095.61,183520.11,183033.56,230347.778,1151738.89,-13081.761000000006,20150.62090027457,26616259.71500001,40643812.3462447,-0.35097169575186815,0.5624807589038077,273.0,406.0,396.0,296.0,253.0,324.8,1624.0,-15.0,24.549813305467993,30579.8,49516.985608576775,-0.33267029629846695,0.584378834537845
Head & neck,,42826,Removal of tonsils patient age 12 or over,0.0,0.0,6851.1,0.0,0.0,1370.22,6851.1,-4.5474735088646414e-14,1118.7799451187886,1370.2200000000917,2256579.7039797613,-2.3467394691249373e-17,1.0,0.0,0.0,12.0,0.0,0.0,2.4,12.0,-8.881784197001253e-17,1.9595917942265426,2.400000000000179,3952.4976204926425,-2.6168207644729584e-17,1.0
Head & neck,,60500,Removal or exploration of parathyroid glands,1466292.92,1408770.07,1410847.34,1862490.74,2197618.1,1669203.834,8346019.17,191637.10300000003,64570.46139026227,-384862832.91700006,130238652.63727425,0.8636788268554862,0.05916881279012047,1960.0,1870.0,1798.0,2272.0,2644.0,2108.8,10544.0,177.0,76.49549006314034,-354900.2,154291.4413827287,0.8005552687525032,0.10366410646301338
Head & neck,,Total,Total,2223121.0999999996,2132927.43,2150402.94,2484267.0,2836232.43,2365390.1799999997,11826950.899999999,157756.22300000011,59847.80652915748,-315828911.61100024,120713055.44100086,0.8357271993168485,0.07792567206606638,4193.0,3924.0,3846.0,4229.0,4595.0,4157.4,20787.0,110.9,86.86101925873693,-219527.90000000002,175198.7189093288,0.5933509131465091,0.29155067173899063
Head & neck,G,11642,"Removal of malignant growth (1.1 to 2.0 centimeters) of the face, ears, eyelids, nose, or lips",289427.1,245483.24,238474.17,213254.24,214496.56,240227.062,1201135.31,-18209.007999999998,4184.319590677554,36967796.19799999,8439774.688922692,-0.9291113637966288,0.022414348566015877,3552.0,3055.0,2923.0,2585.0,2634.0,2949.8,14749.0,-230.60000000000002,50.158149886135114,468070.00000000006,101169.01318803096,-0.9357924700565041,0.01934128225424739
Head & neck,G,11643,"Removal of malignant growth (2.1 to 3.0 centimeters) of the face, ears, eyelids, nose, or lips",139924.42,140722.56,128258.93,129997.44,103648.28,128510.326,642551.63,-8327.740000000003,2622.3634717529135,16925561.906000007,5289308.422656092,-0.8779105013366187,0.05026129621217069,1487.0,1479.0,1414.0,1426.0,1182.0,1397.6,6988.0,-66.3,24.64433673957028,135124.7,49707.63942202447,-0.8408101544761016,0.0743969076057576
Head & neck,G,Total,Total,429351.52,386205.8,366733.1,343251.68,318144.83999999997,368737.388,1843686.94,-26536.74800000001,2238.8454430847514,53893358.10400002,4515752.368689632,-0.9894911332131083,0.0012911654948376313,5039.0,4534.0,4337.0,4011.0,3816.0,4347.4,21737.0,-296.90000000000003,30.162393804205664,603194.7000000001,60837.56325716814,-0.9848693430372749,0.0022291146303214243
Head & neck,K,60220,Total removal of thyroid lobe on one side of the neck,168535.09,208492.4,242281.69,258011.07,259174.37,227298.92400000003,1136494.62,23079.723,4704.255663438621,-46324502.367,9488486.005458666,0.9429617965720068,0.01621181426470545,293.0,323.0,394.0,386.0,376.0,354.4,1772.0,22.900000000000002,9.210682204194574,-45834.9,18577.95057238553,0.8205197797000148,0.08877828397507988
Head & neck,K,60240,Removal of thyroid,559710.52,564614.42,289389.15,325602.27,324832.89,412829.85,2064149.25,-70876.74100000001,28848.503635550438,143371216.44700003,58187446.13558252,-0.8173130644568907,0.09112151282132575,746.0,793.0,423.0,457.0,459.0,575.6,2878.0,-91.0,38.48688088167187,184122.6,77628.05781957964,-0.8067096925041768,0.09900072544461674
Head & neck,K,Total,Total,728245.61,773106.8200000001,531670.8400000001,583613.3400000001,584007.26,640128.774,3200643.87,-47797.018,26273.51662106075,97046714.08,52993696.050714925,-0.7242431361694953,0.16645199710323352,1039.0,1116.0,817.0,843.0,835.0,930.0,4650.0,-68.10000000000001,31.33895339669146,138287.7,63210.68453853348,-0.7819841487272998,0.11812106002078937
Head & neck,,Total,Total,3380718.23,3292240.0500000003,3048806.88,3411132.0200000005,3738384.5300000003,3374256.342,16871281.71,83422.45700000008,76820.54197305083,-164888839.42700016,154947071.24617428,0.53119708324801,0.35697031557679615,10271.0,9574.0,9000.0,9083.0,9246.0,9434.8,47174.0,-254.10000000000002,118.51845144674027,521954.50000000006,239051.7753278356,-0.7778732933720244,0.12139690476598587
Laryngology,,31571,Injection of vocal cords using an endoscope with operating microscope or telescope,337017.46,394075.85,319825.53,402641.13,329493.71,356610.73600000003,1783053.6800000002,-648.2219999999973,14131.066207915423,1664074.5099999944,28502367.5473468,-0.026474998885451514,0.9662949228048202,1894.0,2112.0,1695.0,1987.0,1859.0,1909.4,9547.0,-19.5,55.38071264739497,41240.9,111702.92486676434,-0.19921495552859506,0.7480395127437951
Laryngology,,31622,Diagnostic examination of lung airways using an endoscope,185955.57,191174.4,178972.39,174191.34,169167.54,179892.248,899461.24,-5055.912,1375.9144639019746,10377666.752,2775220.1558490805,-0.9045496291581585,0.03488851790831993,2037.0,1907.0,1836.0,1720.0,1750.0,1850.0,9250.0,-76.10000000000001,15.707641452490558,155343.7,31682.320597298403,-0.9416326653375937,0.016778355611182162
Laryngology,,Total,Total,522973.03,585250.25,498797.92000000004,576832.47,498661.25,536502.9839999999,2682514.92,-5704.134000000009,14960.080520296176,12041741.262000017,30174489.826432273,-0.2149904001380999,0.7283892938369301,3931.0,4019.0,3531.0,3707.0,3609.0,3759.4,18797.0,-95.60000000000001,52.59201460297942,196584.6,106078.11952858139,-0.723969906514188,0.1666919305051469
Laryngology,B,31535,Biopsy of voice box using an endoscope,181200.03,232824.57,168478.11,175099.42,178249.54,187170.334,935851.67,-6362.612999999998,8736.53653948068,13020560.754999995,17621598.531582933,-0.38760117681839484,0.5191424893752931,963.0,1039.0,881.0,925.0,880.0,937.6,4688.0,-28.0,18.043650776196415,57413.6,36394.052561373275,-0.6672873358369038,0.2185132314706288
Laryngology,B,31536,Biopsy of voice box using an endoscope with operating microscope or telescope,286775.12,252209.73,235033.38,268100.83,278485.73,264120.958,1320604.79,-68.76800000000222,7579.169628366156,402826.01400000445,15287188.898058908,-0.0052383942451570105,0.9933302998000411,1235.0,1093.0,1071.0,1138.0,1190.0,1145.4,5727.0,-4.5,24.59722206537424,10221.9,49612.60910081227,-0.10504046004058418,0.8665046808704349
Laryngology,B,Total,Total,467975.15,485034.30000000005,403511.49,443200.25,456735.27,451291.292,2256456.46,-6431.381000000006,10616.53808490959,13423386.76900001,21413562.58079104,-0.3301421954613624,0.5874158067464701,2198.0,2132.0,1952.0,2063.0,2070.0,2083.0,10415.0,-32.5,27.564167561044417,67635.5,55596.93963654834,-0.5627252184000927,0.32336722681941815
Laryngology,D,43191,Diagnostic examination of esophagus using an endoscope,54382.61,67967.41,68026.51,81217.55,93565.24,73031.864,365159.32,9161.54,1262.0587845780683,-18405794.316000003,2545573.194204737,0.9726953196422033,0.005393898026725565,777.0,909.0,770.0,823.0,887.0,833.2,4166.0,13.4,21.68040590025934,-26194.6,43729.3894496596,0.33608562956496746,0.5802806055972068
Laryngology,D,43200,Diagnostic examination of esophagus using an endoscope,78306.83,75608.99,63212.1,63046.87,46478.67,65330.692,326653.46,-7621.844000000001,1392.8569685735865,15438590.040000001,2809393.1961715743,-0.9533812739976907,0.01199814221779527,1430.0,1192.0,1037.0,897.0,704.0,1052.0,5260.0,-174.70000000000002,9.375677753279167,353421.9,18910.746676691597,-0.9957075279652302,0.0003373768213501421
Laryngology,D,Total,Total,132689.44,143576.40000000002,131238.61,144264.42,140043.91,138362.556,691812.78,1539.6959999999992,2033.6447841282459,-2967204.2759999987,4101862.5378387957,0.40052546369180236,0.5040184658805161,2207.0,2101.0,1807.0,1720.0,1591.0,1885.2,9426.0,-161.3,18.1731486906736,327227.30000000005,36655.249919076974,-0.9814864215537521,0.003015502393300805
Laryngology,E,31525,Diagnostic examination of voice box using an endoscope,548628.32,783501.65,700741.37,1022976.64,1268959.66,864961.5279999999,4324807.64,168013.767,36316.97388524644,-338018806.511,73251354.33198056,0.936516549509581,0.019017143588124303,4231.0,5918.0,5299.0,7722.0,9470.0,6528.0,32640.0,1228.2,268.0172631255929,-2470751.4,540590.9526034632,0.9354134521920552,0.019511659157183572
Laryngology,E,31526,Diagnostic examination of voice box using an endoscope with operating microscope or telescope,49005.12,34247.57,47429.81,44119.52,29723.89,40905.18199999999,204525.90999999997,-2869.0510000000013,2617.5197346996893,5827781.049000002,5279538.602618283,-0.5347490283970439,0.35314370600861766,507.0,369.0,480.0,427.0,327.0,422.0,2110.0,-30.200000000000003,21.077317982450555,61335.40000000001,42512.96082043688,-0.6374088896921573,0.24734307102005545
Laryngology,E,31575,Diagnostic examination of voice box using flexible endoscope,4095655.56,3367114.38,2963951.91,3007322.23,3164731.95,3319755.2060000002,16598776.030000001,-222163.93699999998,109382.91479986106,451424416.135,220625393.38181126,-0.760894832058194,0.13520496984053526,69604.0,58104.0,58140.0,59663.0,62112.0,61524.6,307623.0,-1342.5,1572.898139316932,2769347.1,3172536.3268227503,-0.4420250006475327,0.4561022597508783
Laryngology,E,31579,Examination to assess movement of vocal cord flaps using an endoscope,1329457.32,1080066.04,957141.66,1213382.4,1418448.74,1199699.232,5998496.16,31129.919999999973,65404.20346041837,-61589349.40799995,131920310.80613655,0.26497434318195523,0.6666147843055021,11995.0,9957.0,10470.0,13064.0,15023.0,12101.8,60509.0,916.3000000000001,527.1788406224211,-1836075.3,1063319.9829031853,0.7083423665075976,0.18057866923434673
Laryngology,E,Total,Total,6022746.32,5264929.64,4669264.75,5287800.789999999,5881864.24,5425321.148,27126605.740000002,-25889.301000000072,197897.65314333243,57644041.26500015,399159664.5049398,-0.07531540201863268,0.9041961879792613,86337.0,74348.0,74389.0,80876.0,86932.0,80576.4,402882.0,771.8000000000001,2196.8770015638106,-1476144.2000000002,4431102.001334539,0.1987849912569554,0.7485760110261679
Laryngology,,Total,Total,7146383.94,6478790.59,5702812.77,6452097.93,6977304.67,6551477.9799999995,32757389.9,-36485.12000000011,204721.13724227351,80141965.02000023,412922635.3154902,-0.1023541720539859,0.8699065288077967,94673.0,82600.0,81679.0,88366.0,94202.0,88304.0,441520.0,482.40000000000003,2231.9912813449787,-884696.8,4501927.5210623145,0.12382236505622067,0.8427482617591713
Otology,,21235,Obtaining ear cartilage for grafting,268245.9,348416.66,542354.62,589131.2,547903.08,459210.292,2296051.46,80002.89,23378.648433623548,-160906618.838,47154745.48141967,0.8922236023051215,0.04178022926871068,979.0,1155.0,1076.0,1009.0,997.0,1043.2,5216.0,-11.0,25.684495971954238,23230.2,51805.64110943904,-0.24003510720585444,0.6973385422525447
Otology,,69631,Repair of eardrum and ear canal with opening to ear bones,205385.67,220079.14,249926.63,192457.49,258975.6,225364.90600000002,1126824.53,7955.820999999996,9327.402961741122,-15821526.050999993,18813376.398225404,0.4417880070506215,0.4563729475995944,216.0,234.0,290.0,190.0,274.0,240.8,1204.0,7.2,14.429599209033261,-14281.6,29104.508758609893,0.2768248133643893,0.6520905905687436
Otology,,69801,"Incision of fluid canals of inner ear with infusion of drugs, transcanal approach",149143.78,125889.28,101842.11,117694.22,99843.45,118882.568,594412.84,-10679.572,3994.078023627981,21659579.292,8056057.353864645,-0.8392963880949256,0.07544252157108926,1628.0,1419.0,1184.0,1357.0,1106.0,1338.8,6694.0,-110.60000000000001,39.25778054517769,224419.0,79182.96282307194,-0.8518819406403036,0.06688883163021238
Otology,,69930,Implantation of cochlear device,4164557.97,4694007.58,6277113.34,8438188.15,9406753.83,6596124.174,32980620.869999997,1422857.2290000003,150548.05074599083,-2863306906.719001,303655492.9942432,0.983618851805812,0.0025106163169677943,1626.0,1818.0,2191.0,2587.0,2677.0,2179.8,10899.0,287.1,29.706733243492142,-576900.9,59918.495680298955,0.9843171961271626,0.002352042360422789
Otology,,Total,Total,4787333.32,5388392.66,7171236.7,9337471.06,10313475.96,7399581.94,36997909.7,1500136.3680000002,148657.11066671723,-3018375472.3160005,299841465.91684717,0.9855877216783165,0.0020724865060386985,4449.0,4626.0,4741.0,5143.0,5054.0,4802.6,24013.0,172.70000000000002,36.8945795476788,-343533.30000000005,74416.38523947529,0.9378542670661018,0.018423004365441253
Otology,F,69433,Incision of eardrum with insertion of eardrum tube under local or topical anesthesia,137111.76,95794.52,105930.47,119417.25,120424.96,115735.79199999999,578678.96,-975.087000000001,5706.032361752459,2082486.271000002,11509070.102624299,-0.09818496534471349,0.8751881710591881,1272.0,885.0,987.0,1101.0,1113.0,1071.6,5358.0,-10.200000000000001,52.812498520710044,21645.0,106522.83569995685,-0.11082034593702504,0.8591885010058393
Otology,F,69436,Incision of eardrum with insertion of eardrum tube under general anesthesia,1291093.18,1541750.79,989017.79,1045676.06,1013430.98,1176193.7600000002,5880968.800000001,-105139.913,61873.86151258083,213243398.281,124799609.34705496,-0.7003179025732122,0.18783140662381526,4371.0,4125.0,3889.0,4011.0,4032.0,4085.6,20428.0,-79.2,47.38804349903747,163832.0,95581.70723187573,-0.6943757494697931,0.1932540300708185
Otology,F,Total,Total,1428204.94,1637545.31,1094948.26,1165093.31,1133855.94,1291929.552,6459647.76,-106115.0,59243.460903817184,215325884.552,119494090.01506352,-0.7188703854856369,0.17118823540094316,5643.0,5010.0,4876.0,5112.0,5145.0,5157.2,25786.0,-89.4,92.9177413988667,185477.00000000003,187415.13046880712,-0.48560084939901405,0.40695479279071956
Otology,,Total,Total,6215538.26,7025937.97,8266184.96,10502564.370000001,11447331.9,8691511.492,43457557.46,1394021.3680000005,132537.311129937,-2803049587.764001,267327822.2591944,0.9867106507120429,0.001835362323359704,10092.0,9636.0,9617.0,10255.0,10199.0,9959.8,49799.0,83.30000000000001,102.43793242739723,-158056.30000000005,206617.36049332833,0.42498075151598724,0.47565817558322976
Rhinology,,30465,Widening of nasal passage,423255.25,460478.9,747604.4,606739.83,738921.41,595399.958,2976999.79,77759.325,32282.894431047363,-156245158.567,65114614.07282187,0.8118862102027359,0.09512925031531144,483.0,514.0,792.0,687.0,810.0,657.2,3286.0,82.7,28.789986685188545,-166148.69999999998,58069.41741769071,0.8563683302969237,0.06391811050987269
Rhinology,,30802,Destruction of soft tissue in nasal passages,93891.34,144814.17,68066.24,98175.24,115199.38,104029.274,520146.37,-402.2849999999992,10355.269048358055,915438.1189999983,20886582.804533128,-0.022423459330187516,0.9714519576128516,553.0,609.0,491.0,725.0,678.0,611.2,3056.0,36.6,26.992097608991667,-73211.0,54443.07425963381,0.6164307243518372,0.2681515422055013
Rhinology,,30930,Therapeutic fracture of nasal passages,266267.33,230010.14,285853.59,267984.22,269112.82,263845.62,1319228.1,4366.505999999994,7045.714510715103,-8543396.981999988,14211209.661277283,0.3368906177206336,0.5793154296368275,1052.0,953.0,1057.0,1091.0,1134.0,1057.4,5287.0,30.200000000000003,17.131647128438452,-59856.00000000001,34554.54075168704,0.7133044574774458,0.1761348418887453
Rhinology,,31231,Diagnostic examination of nasal passages using an endoscope,1561172.64,1473524.08,1495479.72,1726503.13,1865779.8,1624491.8739999998,8122459.369999999,86219.33700000001,35465.079047882304,-172279910.85500002,71533082.02265976,0.8144384289774966,0.09323787565326513,33396.0,32245.0,32767.0,38601.0,42188.0,35839.4,179197.0,2394.0,794.7400665207041,-4792858.6,1602991.1081930676,0.8669094054300829,0.057106975553228925
Rhinology,,31237,Biopsy or removal of nasal polyp or tissue using an endoscope,689656.89,700877.99,831306.55,817973.23,945048.46,796972.624,3984863.1199999996,62787.83799999999,12746.262948344089,-125846096.62199998,25709218.686225682,0.9433821894586006,0.016033944533439475,4011.0,3961.0,4811.0,4766.0,5431.0,4596.0,22980.0,364.5,79.41399960544318,-730600.5,160178.07657650902,0.9356000975287024,0.01942769738101112
Rhinology,,31238,Control of nasal bleeding using an endoscope,103707.75,65452.13,57244.23,70939.82,58204.32,71109.65000000001,355548.25000000006,-8551.917,4906.176613296447,17320326.238999996,9895760.661431432,-0.7093498057544051,0.17967389192522223,581.0,379.0,360.0,456.0,350.0,425.2,2126.0,-38.5,27.349771479849696,78079.7,55164.502634484066,-0.6307002261889488,0.253948260755418
Rhinology,,31254,Partial removal of nasal sinus using an endoscope,278635.35,433153.49,514211.15,551675.73,492158.95,453966.934,2269834.67,54556.94400000001,23126.295910548346,-109587389.11400002,46645750.3172642,0.8060702338767343,0.09948222090714778,891.0,890.0,927.0,1081.0,1046.0,967.0,4835.0,50.1,15.75002645500424,-100084.7,31767.81116838238,0.8782448372879003,0.050057595962399025
Rhinology,,31256,Incision of nasal sinus using an endoscope,1021363.93,1035079.99,1059938.69,913926.8,991835.22,1004428.926,5022144.63,-18021.061000000012,17709.946197758378,37352908.96300002,35720970.26121777,-0.5065443807439803,0.38380184029854786,3599.0,3847.0,3956.0,3242.0,3465.0,3621.8,18109.0,-87.30000000000001,92.2940770941812,179705.90000000002,186157.1992570526,-0.4792951318889648,0.41398729924814087
Rhinology,,31259,Removal of tissue from sphenoid sinus using an endoscope,0.0,0.0,0.0,560920.86,751217.13,262427.598,1312137.99,206335.512,60242.490958156544,-415916300.106,121509134.1299709,0.8923847168278222,0.04168762313918171,0.0,0.0,0.0,1016.0,1363.0,475.8,2379.0,374.20000000000005,109.21544457325314,-754285.6000000001,220287.6058517137,0.8924469125767027,0.041651891468686156
Rhinology,,31276,Exploration of nasal sinus using an endoscope,3551553.36,3919275.81,4510942.92,1568753.14,1926164.94,3095338.034,15476690.17,-560129.951,339161.44719558395,1132877449.201,684088807.1449085,-0.6900805665371519,0.19720073314224573,5855.0,6240.0,7061.0,3202.0,3838.0,5239.2,26196.0,-707.2,440.1512012933737,1431661.6,887785.1912294324,-0.6800845505300942,0.2064720108371313
Rhinology,,Total,Total,7989503.84,8462666.700000001,9570647.49,7183592.0,8153642.43,8272010.492000001,41360052.46,-95079.75200000015,311495.42907684407,200047870.27600032,628286434.8829924,-0.17355395629552295,0.7801386408079127,50421.0,49638.0,52222.0,54867.0,60303.0,53490.2,267451.0,2499.3,624.8354956839971,-4987597.9,1260293.504579163,0.9176605015688957,0.028009687418598415
Rhinology,C,31253,Complete examination of nose and sinuses using an endoscope,0.0,0.0,0.0,831021.41,880259.72,342256.22599999997,1711281.13,259154.08499999996,83296.40641151712,-522371533.2189999,168008893.02920216,0.8737288166000424,0.05283096731049218,0.0,0.0,0.0,1260.0,1295.0,511.0,2555.0,385.0,126.0647981529076,-776034.0,254272.76037554632,0.8698438446968965,0.055254163397438605
Rhinology,C,31257,Complete examination of nose and sinuses and removal of nasal sinus using an endoscope,0.0,0.0,0.0,439556.46,545807.53,197072.798,985363.99,153117.152,45635.76098075479,-308640222.786,92047352.52374284,0.8885845871067883,0.04388916280940186,0.0,0.0,0.0,750.0,959.0,341.8,1709.0,266.8,78.78713939046992,-537793.7999999999,158913.69921211957,0.8903009237760445,0.04289037817918813
Rhinology,C,Total,Total,0.0,0.0,0.0,1270577.87,1426067.25,539329.024,2696645.12,412271.237,128320.07066150842,-831011756.005,258821646.14352617,0.8802350965880668,0.04885041849488965,0.0,0.0,0.0,2010.0,2254.0,852.8,4264.0,651.8000000000001,202.9650544634059,-1313827.8,409380.6154798734,0.8801459056768016,0.0489043170682342
